id,sales_id,feature_id,location_id,bedrooms,squareFootage,bathrooms,lotSize,lastSalePrice,lastSaleDate,longitude,latitude
4716035312,67,74,109,0.0,2433.0,0.0,5603.0,52000.0,2008-12-08T00:00:00.000Z,-80.173546,26.129955
4716035504,2,75,110,1.0,820.0,1.0,0.0,0.0,Not available,-82.393527,27.706762
4716035888,68,76,111,3.0,1733.0,2.0,6300.0,280000.0,2021-02-12T00:00:00.000Z,-82.444939,28.039664
4716114160,69,77,112,4.0,3036.0,3.5,12632.0,565000.0,2015-09-01T00:00:00.000Z,-88.095645,41.97036
4716114352,2,5,113,0.0,0.0,0.0,0.0,0.0,Not available,-81.994328,28.893816
4716114736,2,78,114,3.0,1202.0,1.0,3750.0,0.0,Not available,-87.666232,41.751684
4716100144,70,79,115,3.0,2278.0,2.0,8400.0,168464.0,2016-07-01T00:00:00.000Z,-90.49881,41.488425
4716100944,71,80,116,3.0,1592.0,2.0,9000.0,395000.0,2007-01-25T00:00:00.000Z,-121.144978,38.67946
4716115024,2,19,117,4.0,3393.0,4.0,0.0,0.0,Not available,-118.16772,34.126349
4716115408,72,81,118,4.0,1890.0,2.5,6700.0,259000.0,2004-07-19T00:00:00.000Z,-80.110606,26.790256
4716115792,73,82,119,4.0,2106.0,2.0,7340.0,395000.0,2022-04-01T00:00:00.000Z,-80.44703,25.451633
4716116176,2,83,120,0.0,0.0,1.0,89298.0,0.0,Not available,-88.757626,33.413804999999996
4716116368,2,5,121,0.0,0.0,0.0,0.0,0.0,Not available,-76.963862,38.967285
4716116752,74,84,122,3.0,1723.0,2.0,8250.0,0.0,2021-03-02T00:00:00.000Z,-97.715412,30.432511
4716116944,2,5,123,0.0,0.0,0.0,0.0,0.0,Not available,-76.976621,38.628233
4716117232,75,85,124,2.0,975.0,2.0,1742.0,142000.0,2009-12-17T00:00:00.000Z,-93.327128,44.767308
4716117424,76,5,125,0.0,0.0,0.0,0.0,40000.0,2004-06-01T00:00:00.000Z,-94.700807,37.830114
4714666896,77,86,126,2.0,894.0,1.0,0.0,112500.0,2023-11-02T00:00:00.000Z,-73.02863,41.467358
4716117808,78,87,127,6.0,6479.0,5.0,26136.0,925000.0,2022-08-29T00:00:00.000Z,-81.320142,35.79114
4716212464,2,88,128,0.0,4256.0,4.0,16183.0,0.0,Not available,-111.795425,33.460388
4716212944,79,89,129,2.0,918.0,1.0,8712.0,239000.0,2019-08-01T00:00:00.000Z,-123.081577,44.004515
4716193712,2,24,130,2.0,1344.0,1.0,0.0,0.0,Not available,-101.606874,35.655126
4716213232,80,90,131,3.0,1459.0,2.0,10018.0,69000.0,2021-10-26T00:00:00.000Z,-117.973014,35.102629
4716213712,81,91,132,3.0,1998.0,2.5,1786.0,213000.0,2017-04-21T00:00:00.000Z,-83.091489,39.862724
4716214192,82,92,133,3.0,2537.0,2.0,24829.0,101100.0,2012-09-01T00:00:00.000Z,-82.207412,29.066663
4716214576,83,93,134,2.0,964.0,2.0,0.0,250000.0,2021-10-28T00:00:00.000Z,-105.095282,39.710398
4714667120,2,32,135,2.0,846.0,1.0,0.0,0.0,Not available,-106.504173,35.129833
4716214768,2,5,136,0.0,0.0,0.0,0.0,0.0,Not available,-83.65725,32.845739
4716214960,84,94,137,0.0,1676.0,0.0,0.0,1600000.0,2009-08-28T00:00:00.000Z,-73.974845,40.789563
4716215248,2,95,138,2.0,1152.0,1.5,1369.0,0.0,Not available,-117.699013,34.082665
4716215440,2,24,139,3.0,2960.0,2.5,217800.0,0.0,Not available,-86.58319594,35.547828057
4714667456,2,5,140,0.0,0.0,0.0,0.0,0.0,Not available,-96.960946,33.008785
4716215824,85,96,141,0.0,1832.0,2.0,10787.0,210000.0,2017-10-31T00:00:00.000Z,-112.256679,33.629271
4716216208,86,97,142,4.0,1654.0,2.0,12902.0,265000.0,2001-02-01T00:00:00.000Z,-71.037274,42.529731
4716298576,87,98,143,2.0,1035.0,1.0,12460.0,187500.0,2011-05-31T00:00:00.000Z,-81.362909,28.528165
4716298768,2,5,144,0.0,0.0,0.0,0.0,0.0,Not available,-96.828556,32.749213
4716299248,2,99,145,0.0,1350.0,0.0,2150.0,0.0,Not available,-73.923659,40.646282
4716299632,88,100,146,3.0,1474.0,1.5,7200.0,375000.0,2018-10-17T00:00:00.000Z,-74.035131,40.174587
4716300016,89,101,147,0.0,1142.0,2.0,3800.0,410000.0,2019-07-17T00:00:00.000Z,-73.649187,40.705944
4716300496,90,102,148,4.0,2223.0,2.0,4592.0,0.0,2017-04-21T00:00:00.000Z,-96.74679,33.209105
4716300880,91,103,149,5.0,1973.0,3.0,12415.0,732500.0,2022-01-06T00:00:00.000Z,-73.621695,40.635637
4716301360,2,104,150,3.0,1676.0,2.0,14113.0,0.0,Not available,-83.003283,40.04687
4716301648,92,105,151,3.0,1680.0,2.0,20909.0,175000.0,2004-06-08T00:00:00.000Z,-80.905499,35.485611
4716302128,93,106,152,0.0,1608.0,1.0,23958.0,400000.0,2021-03-29T00:00:00.000Z,-82.471707,39.650836
4716380304,94,107,153,0.0,806.0,1.0,13936.0,19000.0,2015-11-18T00:00:00.000Z,-78.970181,36.423026
