lastSaleDate,year,month,monthName,quarter,date_id
2019-11-15 00:00:00+00:00,2019,11,November,4,259
2021-03-23 00:00:00+00:00,2021,3,March,1,260
2021-02-18 00:00:00+00:00,2021,2,February,1,261
1980-01-09 00:00:00+00:00,1980,1,January,1,262
2020-09-03 00:00:00+00:00,2020,9,September,3,263
2007-08-20 00:00:00+00:00,2007,8,August,3,264
2019-04-24 00:00:00+00:00,2019,4,April,2,265
2021-11-03 00:00:00+00:00,2021,11,November,4,266
2020-10-30 00:00:00+00:00,2020,10,October,4,267
2006-01-24 00:00:00+00:00,2006,1,January,1,268
2014-02-27 00:00:00+00:00,2014,2,February,1,269
2018-12-19 00:00:00+00:00,2018,12,December,4,270
2018-08-02 00:00:00+00:00,2018,8,August,3,271
2020-12-08 00:00:00+00:00,2020,12,December,4,272
1982-10-20 00:00:00+00:00,1982,10,October,4,273
2021-03-08 00:00:00+00:00,2021,3,March,1,274
2024-02-22 00:00:00+00:00,2024,2,February,1,275
2011-12-19 00:00:00+00:00,2011,12,December,4,276
2005-06-24 00:00:00+00:00,2005,6,June,2,277
2021-07-22 00:00:00+00:00,2021,7,July,3,278
2013-10-10 00:00:00+00:00,2013,10,October,4,279
2021-03-24 00:00:00+00:00,2021,3,March,1,280
2018-08-23 00:00:00+00:00,2018,8,August,3,281
2016-03-02 00:00:00+00:00,2016,3,March,1,282
2016-04-01 00:00:00+00:00,2016,4,April,2,283
2023-12-04 00:00:00+00:00,2023,12,December,4,284
2019-06-25 00:00:00+00:00,2019,6,June,2,285
2001-10-31 00:00:00+00:00,2001,10,October,4,286
1991-11-07 00:00:00+00:00,1991,11,November,4,287
2020-08-11 00:00:00+00:00,2020,8,August,3,288
2018-10-23 00:00:00+00:00,2018,10,October,4,289
2013-06-21 00:00:00+00:00,2013,6,June,2,290
2018-01-24 00:00:00+00:00,2018,1,January,1,291
1992-06-29 00:00:00+00:00,1992,6,June,2,292
2006-07-20 00:00:00+00:00,2006,7,July,3,293
1971-09-30 00:00:00+00:00,1971,9,September,3,294
2015-09-23 00:00:00+00:00,2015,9,September,3,295
2020-02-25 00:00:00+00:00,2020,2,February,1,296
2011-09-19 00:00:00+00:00,2011,9,September,3,297
